Atomic Radius(Atomic unit),Expansion Coefficient,Electron Affinity(-ive),Conductivity,Yield Strength,Outcome
1.2,0,73,1.2,1213.355372,2
1.32,0.006,17,21.84,136.8095238,1
1.33,0.008,16,28.14,179.3623188,1
1.34,0.008,16,55.2,57.60716656,1
1.32,0.008,16,47.76,59.91304348,1
1.34,0.01,26,0,2397.196262,3
1.34,0.013,29,0,2547.169811,3


1.22,0.003,86,3.18,68.55284553,3
1.51,0.001,64,52.44,241.0596026,2
1.5,0.001,64,59,106.0662252,2
1.31,0.008,28,18.06,67.83065693,1
1.31,0.006,28,8.1,240.9468085,1
1.3,0.004,21,18.17,584.1407407,1
1.3,0.004,19,20.01,790.566416,1
1.3,0.005,24,22.89,681.7028986,1
1.31,0.003,18,33.36,499.6575758,2
1.3,0.006,23,16.72,279.2209302,1
1.3,0.005,29,13.26,255.4385965,1
1.29,0.004,30,17.85,615.8769231,3
1.28,0.003,26,11.39,236.780303,1
1.28,0.003,34,10,1039.812834,3

1.24,0,86,1.2,11.328,3
1.24,0,86,1.92,23.05511811,3

1.32,0.001,29,46.2,577.7408638,2
1.32,0,26,30,550,1
1.32,0.002,26,56.25,374.4708995,1
1.32,0.004,22,43.47,434.0434783,1
1.32,0.001,29,43.79,181.2587413,1
1.2,0.001,28,73.78,110,1
1.2,0.002,28,39.68,154.3167104,1
1.2,0.007,27,89.54,132.4675325,1
1.15,0.005,23,63.92,140.0376648,1
1.14,0.005,24,51.84,148.8888889,1
1.15,0.004,22,70.56,159.4537815,1
1.15,0.005,27,28.52,122.0892857,1
1.14,0.007,28,26.84,89.83333333,1
1.14,0.009,27,32.4,135.5294118,1
1.16,0.005,40,21.28,67.12598425,1
1.16,0.005,40,20.52,45.44,1
1.22,0.003,22,66.88,228.9377289,1
1.22,0.003,21,73.79,192.3076923,1
1.22,0.008,17,108.29,121.984127,1
1.22,0.006,20,105.5,153.614889,1
1.22,0.006,22,116.2,652.3041475,1
1.58,0.008,27,25.33,116.4705882,1
1.58,0.008,29,16.64,113.5174419,1
1.56,0.012,43,91.02,514.5676692,1
1.56,0.011,34,17.82,751.3786765,2
1.5,0,61,3.1,26.16883117,2
1.48,0,70,1.53,5.44,3
1.49,0,57,15.36,36.29801325,2
1.49,0,58,17.16,36.29801325,2
1.46,0.006,39,4.4,34.15384615,1
1.48,0.005,41,5.12,18.57142857,1
1.44,0.007,33,6.82,92.36842105,1
1.46,0.005,39,4.68,38.03870968,1
1.46,0.005,39,4.16,26,1

1.36,0.005,24,16.8,15.88781431,1
1.41,0.005,25,20.1,26.46527778,1
1.5,0.004,40,4.56,16.71428571,1
1.38,0.004,44,11.9,50.43396226,1
1.4,0.004,34,12.36,138.1935484,1
1.4,0.004,34,12.36,138.1935484,1
1.44,0.005,46,10.4,45.7875,1
1.44,0.005,45,9.2,51.75,1

1.4,0,53,19.35,312.707483,1
1.4,0.004,52,33.63,474.6122449,1
1.4,0.003,56,22.65,256,1
1.54,0.004,65,12.06,64.22641509,2

1.45,0.002,36,19.04,195.9533333,1
1.45,0.001,34,37.91,88.92,1
1.45,0.005,35,40.47,134.9933775,1
1.45,0.002,34,44.03,91.124,1
1.45,0.003,40,25.76,46.77106637,1
1.45,0.002,41,18.96,47.91946309,1
1.45,0.002,43,0,104.3088608,1
1.45,0.001,41,12.54,140.060241,1
1.45,0.001,40,1.32,149.9818182,1
1.45,0.002,41,42.12,161.4448052,1
1.39,0,38,19.95,72.04927536,1
1.39,0,62,8.05,41.0625,1
1.39,0,51,15.62,247.6873563,2
1.39,0.002,64,2.6,337.0700637,2
1.48,0,67,1.96,3.451986755,2
